Item GUID,Sort Order,Item Name,DisplayName,Pack Size,List Price (WA),List Price (OR),Weight,Category Code,GL index,Enabled
3C99BEEC-4E6F-EC11-8943-000D3A5C40F8,70,Cilantro Lime,,Gal,21.94,21.94,8,0,0,true
C1ABE34A-4F6F-EC11-8943-000D3A5C40F8,71,Red Wine Vini,,Gal,19.42,19.42,8,0,0,true
210A435B-4F6F-EC11-8943-000D3A5C40F8,72,Dijon Balsamic,,Gal,20.28,20.28,8,0,0,true
E005FA69-5C72-EC11-8943-000D3A35254B,73,Evergreens Caesar,,Gal,22.1,22.1,8,0,0,true
DD8822AD-5C72-EC11-8943-000D3A35254B,74,Peppercorn Ranch,,Gal,16.4,16.4,8,0,0,true
E6DDDFC6-598F-EC11-B400-000D3A383D7A,75,Lemon Yogurt Dressing,(FeatureSalad) Lemon Yogurt Dressing,Gal,19.45,19.45,,0,0,true
A351A987-98BA-EC11-983F-6045BD0111B4,76,Tomato Vini,,Gal,19.9,19.9,,0,0,true
BB126B12-99BA-EC11-983F-6045BD0111B4,77,Spicy Soy Vini,,Gal,12.59,12.59,,0,0,true
EBC4E37D-5C72-EC11-8943-000D3A35254B,78,Garam Masala Vini,,Gal,23.89,23.89,5,0,0,false
26A29D2B-4601-ED11-82E4-000D3A336609,78,Pomegranate Vinaigrette (Jul/Aug Seasonal),,Gallon,34.8,,,0,,false
01F460B0-7580-EC11-8D21-002248028B68,79,Caramelized Onion Vini,,Gal,21.86,21.86,8,0,0,false
3C7FDC8E-5C72-EC11-8943-000D3A35254B,79,Greek Yogurt,,Gal,21.08,2.08,8,0,0,false
83AB23A1-5C72-EC11-8943-000D3A35254B,79,Habanero Mango,,Gal,21.01,21.01,8,0,0,false
55C8D741-5D72-EC11-8943-000D3A35254B,79,Tamarind Sauce,,Gal,21.22,21.22,,2,0,false
BA682F19-3793-EC11-B400-000D3A5B2527,80,BBQ Sauce,(FeatureSalad) BBQ Sauce,Gal,11.05,11.05,,3,0,true
E265C3D7-5C72-EC11-8943-000D3A35254B,81,Buffalo Sauce,,Gal,9.95,9.95,,2,0,true
944E57E8-5C72-EC11-8943-000D3A35254B,82,Cashews,,5lb,25.51,25.51,,2,0,true
22056EF4-5C72-EC11-8943-000D3A35254B,83,"Cookie, Snickerdoodle",,Ea,0.35,0.5,,2,0,true
38C96AFD-5C72-EC11-8943-000D3A35254B,84,"Cookie, Lemon Cooler",,Ea,0.38,0.38,,2,0,true
F92B2A08-5D72-EC11-8943-000D3A35254B,85,"Cookie, Triple Chocolate",,Ea,0.47,0.47,,2,0,true
A8372914-5D72-EC11-8943-000D3A35254B,86,Croutons,,Case,88.35,6.57,,3,0,true
B4F508CA-5C72-EC11-8943-000D3A35254B,87,Balsamic Mushrooms,,Gal,22.81,17.11,,2,0,false
C08CEFA6-97BA-EC11-983F-6045BD0111B4,87,Roasted Broccoli,,Gal,13.48,10.11,,2,0,true
C602E67D-4F6F-EC11-8943-000D3A5C40F8,87,Jerk Brussels Sprouts,Jerk Spiced Brussels Sprouts,Gal,18.12,13.59,,2,0,false
F33D0527-5D72-EC11-8943-000D3A35254B,88,Lemonade Base,,Gal,6.58,6.58,,2,0,true
FB84FD2C-5D72-EC11-8943-000D3A35254B,89,Pickled Beets,,Gal,22.13,16.6,,2,0,true
2602076A-25E8-EC11-BB3C-000D3A34A223,89,Pickled Rhubarb (June/July Seasonal),,Gallon,30.65,,,2,0,false
8DC1ACA9-598F-EC11-B400-000D3A383D7A,90,Harissa Carrots,,Gal,20.72,20.72,,2,0,true
5D902C57-81A4-EC11-983F-0022480B1C4A,91,House Pickles,(FeatureSalad) House Pickles,Gal,12.12,12.12,,2,0,true
AB8DC5FF-01AA-EC11-983F-0022480AC31B,92,Pickled Red Onions,Pickled Red Onions,Gal,19.37,16.94,8,2,0,true
CD0AEBAA-9ABA-EC11-983F-6045BD0111B4,93,Sun Dried Tomato,,,29.85,14.93,4,2,0,true
0AE9F3A6-7780-EC11-8D21-002248028B68,94,Spicy Garlic Carrots,Pickled Carrots,Gal,12,12,8,,0,true
1AE92DF9-99BA-EC11-983F-6045BD0111B4,95,Giardiniera,,Gal,15.96,11.97,,2,0,true
49905A68-5D72-EC11-8943-000D3A35254B,96,Smith Tea,,Case,74.88,74.88,,3,0,true
B7DB4775-5D72-EC11-8943-000D3A35254B,97,Agave Syrup,,Gal,18.52,18.52,,2,0,true
57F6AF86-5D72-EC11-8943-000D3A35254B,98,Ascorbic Acid,,1 lb,6.58,6.58,,3,0,true
0BDA9E3F-598F-EC11-B400-000D3A383D7A,99,Steak Spices,,1 qt,8.66,8.66,,2,0,true
2C35D36E-598F-EC11-B400-000D3A383D7A,100,Garbanzo Spices,(FeatureSalad) Garbanzo Spices,qt,7.8,7.8,,2,0,true
33C5C333-81A4-EC11-983F-0022480B1C4A,101,Smoked Spices,BBQ Smoked Spices,qt,12.02,12.02,,2,0,true
6DD2536B-4F6F-EC11-8943-000D3A5C40F8,104,Ancho Soup Base,,Ea,1.81,1.81,,1,0,false
AEF362B5-5C72-EC11-8943-000D3A35254B,105,Tomato Soup Base,,Ea,1.18,1.18,,1,0,false
5E3E1C96-5D72-EC11-8943-000D3A35254B,110,Cinnamon Sugar,,1 qt,9.5,9.5,,2,0,true
093D74F9-B17F-EC11-8D21-002248028B68,110,Garbanzo Beans,,1 cs,32.94,32.94,8,3,0,false
A54B7CA8-5D72-EC11-8943-000D3A35254B,111,Coconut Flakes,,2.5 lb bag,8.5,8.5,,2,0,true
35D9AAB4-5D72-EC11-8943-000D3A35254B,112,Egg Sheets,,2 / Sheet,12,12,,2,0,true
334AAABA-5D72-EC11-8943-000D3A35254B,113,Granola,,Gal,8.6,8.6,,2,0,true
259A9CF8-598F-EC11-B400-000D3A383D7A,114,Golden Raisins,(FeatureSalad) Golden Raisins,2 lbs,5.31,5.31,2,,0,false
9FD84200-5A8F-EC11-B400-000D3A383D7A,115,Capers,(FeatureSalad) Capers,jar,6.67,6.67,,3,0,false
C093E6CC-5D72-EC11-8943-000D3A35254B,200,Cookie Bags,,250 ea,5.48,5.48,,3,1,true
53067B8B-FC82-EC11-8D21-000D3A5C2A9B,201,"Stickers, Snickerdoodle",,Roll - 300ct,18,,,3,1,true
FDA8B5AF-FC82-EC11-8D21-000D3A5C2A9B,202,"Stickers, Triple Chocolate",,Roll - 300ct,18,,,3,1,true
1A384A9F-FC82-EC11-8D21-000D3A5C2A9B,203,"Stickers, Lemon Cooler",,Roll - 300ct,18,,,3,1,true
8C2FE89A-5E72-EC11-8943-000D3A35254B,204,Shirts - XS,,Ea,0,0,,3,,true
7357C97F-5E72-EC11-8943-000D3A35254B,205,Shirts - S,,Ea,0,0,,3,,true
91E0C9A7-5E72-EC11-8943-000D3A35254B,206,Shirts - M,,Ea,0,0,,3,,true
4BA1D8AD-5E72-EC11-8943-000D3A35254B,207,Shirts - L,,Ea,0,0,,3,,true
408B4419-92C5-EC11-A7B6-0022480C20EA,208,Shirts - 2XL,,Ea,,,,3,,true
1D9AD433-92C5-EC11-A7B6-0022480C20EA,208,Shirts - 3XL,,Ea,,,,3,,true
DB213F40-92C5-EC11-A7B6-0022480C20EA,208,Shirts - 4XL,,Ea,,,,3,,true
478785BD-5E72-EC11-8943-000D3A35254B,208,Shirts - XL,,Ea,0,0,,3,,true
5FDD6ED7-5E72-EC11-8943-000D3A35254B,209,Bandanas,,Ea,0,0,,3,,false
F4DA3753-92C5-EC11-A7B6-0022480C20EA,209,Headbands,,Ea,,,,3,,true
BA5D9FCE-5E72-EC11-8943-000D3A35254B,210,Hats,,Ea,0,0,,3,,true
9FD4353F-D194-EC11-B400-000D3A5B2527,211,Wrap Stickers,Wrap Stickers,1,57.2,,,3,1,true
836DDF68-F0C7-EC11-A7B6-0022480C20EA,212,Avery Labels  - 5260 (Rectangle),,,,,,,,false
47E2D852-F0C7-EC11-A7B6-0022480C20EA,212,Avery Labels - 5294 (Circle),,,,,,,,true
0D076AEC-5E72-EC11-8943-000D3A35254B,212,Paper Menus,,100 ea,0,0,,3,,true
147BEDFB-5E72-EC11-8943-000D3A35254B,213,24oz Bowls,,Sleeve,10.78,10.78,,3,1,false
F0873F06-5F72-EC11-8943-000D3A35254B,214,Catering Trays/Lids,,Slv,25.67,24.64,,3,1,true
77869F0E-5F72-EC11-8943-000D3A35254B,215,Sanitizer,,,0,0,,3,,true
61DEEB16-5F72-EC11-8943-000D3A35254B,216,Face Masks,,,0,0,,3,,true
42F55420-5F72-EC11-8943-000D3A35254B,217,Dressing Jars/Lids,,Ea,0.83,0.83,,3,1,true
5846E827-5F72-EC11-8943-000D3A35254B,218,Printer Paper,,Ream,0,0,,3,522200001,true
934A9F2E-5F72-EC11-8943-000D3A35254B,219,Gift Cards,,20,0,0,,3,,true
B0A44F79-92C5-EC11-A7B6-0022480C20EA,220,Staples,,Ea,1,1,,3,522200001,true
FB77B02D-758B-EC11-93B0-000D3A5C82D0,307,Croutons (OR),,7 QT,6.57,,,2,0,false
2A0D8C3B-5D72-EC11-8943-000D3A35254B,313,Rstd Paprika Carrots,Roasted Paprika Carrots,Gal,13.62,10.22,,2,0,false
A4A0014E-5D72-EC11-8943-000D3A35254B,315,P.R.O. [DO NOT USE],Pickled Red Onions [OLD],Gal,19.37,16.94,,2,0,false
23C8145E-5D72-EC11-8943-000D3A35254B,316,Island Spices,,2 Cup,3.75,3.75,,2,0,false
A2896D70-3793-EC11-B400-000D3A5B2527,400,Salt,,Box,2.5,2.5,2,3,0,false
D337BC6D-5E72-EC11-8943-000D3A35254B,402,Cookie Stickers,Cookie Stickers (flavor in comments),,0.41,0.41,,3,,false
B89F83E1-5E72-EC11-8943-000D3A35254B,409,Wrap Stickers,,Roll,48.63,48.63,,3,,true
1781E6FE-61A5-EC11-983F-0022480B1C4A,999,test item,,g,2,2,6,0,522200001,false
